Model,Call#,Move,Legal,UCI,Eval,Normalized,ERRORS
google/gemini-2.5-flash-lite,1,Qxh6,False,,,0.0,
google/gemini-2.5-flash-lite,2,Qh5,True,d5h5,-657 cp,0.329,
google/gemini-2.5-flash-lite,3,Qe5,True,d5e5,243 cp,0.621,
google/gemini-2.5-flash-lite,4,gxh6,False,,,0.0,
google/gemini-2.5-flash-lite,5,Qh5,True,d5h5,-626 cp,0.313,
google/gemini-2.5-flash-lite,6,Qh5,True,d5h5,-634 cp,0.317,
google/gemini-2.5-flash-lite,7,Qh5,True,d5h5,-621 cp,0.31,
google/gemini-2.5-flash-lite,8,Qh5,True,d5h5,-631 cp,0.316,
google/gemini-2.5-flash-lite,9,Qh5,True,d5h5,-617 cp,0.308,
google/gemini-2.5-flash-lite,10,Qf7,True,d5f7,0 cp,0.5,
google/gemini-2.5-flash-lite,11,Nd5,False,,,0.0,
google/gemini-2.5-flash-lite,12,Qh5,True,d5h5,-622 cp,0.311,
google/gemini-2.5-flash-lite,13,Qh5,True,d5h5,-631 cp,0.316,
google/gemini-2.5-flash-lite,14,Qh5,True,d5h5,-627 cp,0.314,
google/gemini-2.5-flash-lite,15,Qh5,True,d5h5,-636 cp,0.318,
google/gemini-2.5-flash-lite,16,Qe4,False,,,0.0,
google/gemini-2.5-flash-lite,17,Qh5,True,d5h5,-643 cp,0.322,
google/gemini-2.5-flash-lite,18,Qh5,True,d5h5,-631 cp,0.316,
google/gemini-2.5-flash-lite,19,Qh5,True,d5h5,-628 cp,0.314,
google/gemini-2.5-flash-lite,20,Qh5,True,d5h5,-625 cp,0.312,
google/gemini-2.5-flash-lite,21,Qh5,True,d5h5,-630 cp,0.315,
google/gemini-2.5-flash-lite,22,Qf7,True,d5f7,0 cp,0.5,
google/gemini-2.5-flash-lite,23,Qxc4,False,,,0.0,
google/gemini-2.5-flash-lite,24,Qh5,True,d5h5,-632 cp,0.316,
google/gemini-2.5-flash-lite,25,Qh5,True,d5h5,-629 cp,0.315,
google/gemini-2.5-flash-lite,26,Qh5,True,d5h5,-628 cp,0.314,
google/gemini-2.5-flash-lite,27,Qh5,True,d5h5,-637 cp,0.319,
google/gemini-2.5-flash-lite,28,Qh5,True,d5h5,-626 cp,0.313,
google/gemini-2.5-flash-lite,29,Qh5,True,d5h5,-643 cp,0.322,
google/gemini-2.5-flash-lite,30,Qd5,False,,,0.0,
google/gemini-2.5-flash-lite,31,Qb3,False,,,0.0,
google/gemini-2.5-flash-lite,32,Qd5,False,,,0.0,
google/gemini-2.5-flash-lite,33,Qh5,True,d5h5,-632 cp,0.316,
google/gemini-2.5-flash-lite,34,Qf3,False,,,0.0,
google/gemini-2.5-flash-lite,35,Qh5,True,d5h5,-639 cp,0.32,
google/gemini-2.5-flash-lite,36,Qd5,False,,,0.0,
google/gemini-2.5-flash-lite,37,Qh5,True,d5h5,-633 cp,0.317,
google/gemini-2.5-flash-lite,38,Qh5,True,d5h5,-635 cp,0.318,
google/gemini-2.5-flash-lite,39,Qh5,True,d5h5,-635 cp,0.318,
google/gemini-2.5-flash-lite,40,Qd3,True,d5d3,101 cp,0.55,
google/gemini-2.5-flash-lite,41,Bh6,False,,,0.0,
google/gemini-2.5-flash-lite,42,Qh5,True,d5h5,-630 cp,0.315,
google/gemini-2.5-flash-lite,43,Qh5,True,d5h5,-630 cp,0.315,
google/gemini-2.5-flash-lite,44,Qf5,True,d5f5,364 cp,0.682,
google/gemini-2.5-flash-lite,45,Qh5,True,d5h5,-644 cp,0.322,
google/gemini-2.5-flash-lite,46,Qd3,True,d5d3,29 cp,0.514,
google/gemini-2.5-flash-lite,47,Qh5,True,d5h5,-630 cp,0.315,
google/gemini-2.5-flash-lite,48,Rxe4,False,,,0.0,
google/gemini-2.5-flash-lite,49,Qf7,True,d5f7,2 cp,0.501,
google/gemini-2.5-flash-lite,50,Nf7,True,h6f7,604 cp,0.802,
google/gemini-2.5-flash-lite,51,Qh5,True,d5h5,-635 cp,0.318,
google/gemini-2.5-flash-lite,52,Qe4,False,,,0.0,
google/gemini-2.5-flash-lite,53,Qh5,True,d5h5,-628 cp,0.314,
google/gemini-2.5-flash-lite,54,Qd3,True,d5d3,28 cp,0.514,
google/gemini-2.5-flash-lite,55,Qh5,True,d5h5,-639 cp,0.32,
google/gemini-2.5-flash-lite,56,Qf5,True,d5f5,371 cp,0.685,
google/gemini-2.5-flash-lite,57,Qh5,True,d5h5,-647 cp,0.324,
google/gemini-2.5-flash-lite,58,Qh5,True,d5h5,-638 cp,0.319,
google/gemini-2.5-flash-lite,59,Qh5,True,d5h5,-634 cp,0.317,
google/gemini-2.5-flash-lite,60,Qh5,True,d5h5,-626 cp,0.313,
google/gemini-2.5-flash-lite,61,Qh5,True,d5h5,-630 cp,0.315,
google/gemini-2.5-flash-lite,62,e4,False,,,0.0,
google/gemini-2.5-flash-lite,63,Qe4,False,,,0.0,
google/gemini-2.5-flash-lite,64,Qh5,True,d5h5,-645 cp,0.323,
google/gemini-2.5-flash-lite,65,Qh5,True,d5h5,-631 cp,0.316,
google/gemini-2.5-flash-lite,66,Qd1,True,d5d1,364 cp,0.682,
google/gemini-2.5-flash-lite,67,Qd5,False,,,0.0,
google/gemini-2.5-flash-lite,68,Qh5,True,d5h5,-645 cp,0.323,
google/gemini-2.5-flash-lite,69,Qd3,True,d5d3,26 cp,0.513,
google/gemini-2.5-flash-lite,70,Qh5,True,d5h5,-637 cp,0.319,
google/gemini-2.5-flash-lite,71,Qh5,True,d5h5,-628 cp,0.314,
google/gemini-2.5-flash-lite,72,Qh5,True,d5h5,-632 cp,0.316,
google/gemini-2.5-flash-lite,73,Qh5,True,d5h5,-639 cp,0.32,
google/gemini-2.5-flash-lite,74,Qh5,True,d5h5,-642 cp,0.321,
google/gemini-2.5-flash-lite,75,Qh5,True,d5h5,-644 cp,0.322,
google/gemini-2.5-flash-lite,76,Qe4,False,,,0.0,
google/gemini-2.5-flash-lite,77,Qh5,True,d5h5,-639 cp,0.32,
google/gemini-2.5-flash-lite,78,Qh5,True,d5h5,-631 cp,0.316,
google/gemini-2.5-flash-lite,79,Qh5,True,d5h5,-660 cp,0.33,
google/gemini-2.5-flash-lite,80,Qh5,True,d5h5,-655 cp,0.328,
google/gemini-2.5-flash-lite,81,g4,False,,,0.0,
google/gemini-2.5-flash-lite,82,Qf7,True,d5f7,28 cp,0.514,
google/gemini-2.5-flash-lite,83,Qh5,True,d5h5,-637 cp,0.319,
google/gemini-2.5-flash-lite,84,Qh5,True,d5h5,-658 cp,0.329,
google/gemini-2.5-flash-lite,85,Qd5,False,,,0.0,
google/gemini-2.5-flash-lite,86,Qf5,True,d5f5,375 cp,0.688,
google/gemini-2.5-flash-lite,87,Qh5,True,d5h5,-631 cp,0.316,
google/gemini-2.5-flash-lite,88,Qh5,True,d5h5,-637 cp,0.319,
google/gemini-2.5-flash-lite,89,Qf7,True,d5f7,9 cp,0.504,
google/gemini-2.5-flash-lite,90,Qf7,True,d5f7,0 cp,0.5,
google/gemini-2.5-flash-lite,91,Qxe4,False,,,0.0,
google/gemini-2.5-flash-lite,92,g6,False,,,0.0,
google/gemini-2.5-flash-lite,93,Qd5,False,,,0.0,
google/gemini-2.5-flash-lite,94,Qd3,True,d5d3,26 cp,0.513,
google/gemini-2.5-flash-lite,95,Qf7,True,d5f7,0 cp,0.5,
google/gemini-2.5-flash-lite,96,Qh5,True,d5h5,-653 cp,0.327,
google/gemini-2.5-flash-lite,97,Qh5,True,d5h5,-653 cp,0.327,
google/gemini-2.5-flash-lite,98,Qf7,True,d5f7,0 cp,0.5,
google/gemini-2.5-flash-lite,99,Qh5,True,d5h5,-633 cp,0.317,
google/gemini-2.5-flash-lite,100,Qh5,True,d5h5,-636 cp,0.318,
,,,,,,Â 0.295,